交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2023090222001111721440852236	,T200P3503629045903126444	,2023-09-02 21:49:24 ,2023-09-02 21:49:33 ,2023-09-03 09:29:32 ,淘宝        ,支付宝担保交易         ,广东**司           ,户外防雨防水插座延长线电瓶车插线板插排接线板加长线家用功率,18.36   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2023090222001111721441168822	,T200P3503629045904126444	,2023-09-02 21:49:24 ,2023-09-02 21:49:33 ,2023-09-05 20:50:04 ,淘宝        ,支付宝担保交易         ,越图**店           ,挂钩强力粘胶免打孔厨房浴室门后贴墙壁上无痕粘钩承重不锈钢钩子 等多件,4.31    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023090222001111721441349364	,T200P3503629045907126444	,2023-09-02 21:49:24 ,2023-09-02 21:49:33 ,2023-09-05 20:50:04 ,淘宝        ,支付宝担保交易         ,lo**6           ,宿舍衣柜挂钩挂包帽子衣服门后壁挂墙上免打孔衣架挂架神器置物架,4.90    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023090222001111721440167458	,T200P3503828955654126444	,2023-09-02 21:38:36 ,                    ,2023-09-02 22:08:39 ,淘宝        ,支付宝担保交易         ,广东**司           ,户外防雨防水插座延长线电瓶车插线板插排接线板加长线家用功率,18.36   ,不计收支    ,交易关闭    ,0.00     ,0.00     ,                    ,         ,
2023082922001411721424029082	,v2alipayproxy511829971693299477709	,2023-08-29 16:59:02 ,2023-08-29 16:59:03 ,2023-08-29 16:59:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,清枫（北京）科技有限公司    ,小黑盒加速器连续包月          ,16.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023082622001411721409274533	,1706427779923968    	,2023-08-26 17:34:09 ,2023-08-26 17:34:10 ,2023-08-26 17:34:10 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(1号2号航站楼天府机场2023-08-26 17:17:11--机场北站2023-08-26 17:33:57),2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023082622001411721409197990	,1706097125640192    	,2023-08-26 14:45:58 ,2023-08-26 14:45:59 ,2023-08-26 14:45:59 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(机场北站2023-08-26 14:37:09--1号2号航站楼天府机场2023-08-26 14:45:46),2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023082522001411721403555614	,1704009109291008    	,2023-08-25 21:03:57 ,2023-08-25 21:03:58 ,2023-08-25 21:03:58 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(骡马市2023-08-25 20:41:48--成都东客站2023-08-25 21:03:49),4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023082522001411721403890168	,1702635028857856    	,2023-08-25 09:25:03 ,2023-08-25 09:25:04 ,2023-08-25 09:25:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(成都东客站2023-08-25 08:55:48--火车北站2023-08-25 09:24:53),4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081722001111721434530495	,T200P3479457168622126444	,2023-08-17 11:15:40 ,2023-08-17 11:16:33 ,2023-08-27 12:19:38 ,淘宝        ,支付宝担保交易         ,静候**g           ,麦当劳薯条麦辣鸡腿堡可乐优惠券机场火车站交通枢纽可使用代下单,22.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081722001411721432397400	,7886068827149312    	,2023-08-17 11:02:04 ,2023-08-17 11:02:05 ,2023-08-17 11:02:05 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,起凤路--南昌西站           ,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081622001411721430518208	,P18M6666031230816215390126444	,2023-08-16 17:23:05 ,2023-08-16 17:23:06 ,2023-08-16 17:23:06 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌子公司           ,盒马 深层玄武岩天然水 550ml   ,5.40    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081622001411721432144343	,7883605754401792    	,2023-08-16 14:09:15 ,2023-08-16 14:09:17 ,2023-08-16 14:09:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,谢家村站--珠江路站          ,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081622001411721430057811	,7883359850616832    	,2023-08-16 12:04:11 ,2023-08-16 12:04:12 ,2023-08-16 12:04:12 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,起凤路--谢家村站           ,3.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081522001411721428456979	,7881348653340672    	,2023-08-15 19:01:14 ,2023-08-15 19:01:15 ,2023-08-15 19:01:15 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,起凤路--万寿宫站           ,2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081522001411721428334083	,4197393298725       	,2023-08-15 17:29:47 ,2023-08-15 17:29:48 ,2023-08-15 17:29:48 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,百度              ,百度网盘超级会员(1个月-自动续费)  ,25.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081522001411721429553241	,CPR230815150200551114747218U	,2023-08-15 15:02:20 ,                    ,2023-08-15 15:33:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,哈啰出行            ,哈啰单车骑行              ,7.50    ,不计收支    ,交易关闭    ,0.00     ,0.00     ,                    ,         ,
2023081522001411721428444010	,7880810043790336    	,2023-08-15 14:27:18 ,2023-08-15 14:27:19 ,2023-08-15 14:27:19 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,万寿宫站--起凤路           ,2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081522001411721427991088	,7880426191607808    	,2023-08-15 11:12:03 ,2023-08-15 11:12:05 ,2023-08-15 11:12:05 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,起凤路--滕王阁站           ,2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081422001411721425767426	,7878690467207168    	,2023-08-14 20:29:13 ,2023-08-14 20:29:14 ,2023-08-14 20:29:14 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,八一广场站--起凤路          ,2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081422001411721424432308	,7878056156682240    	,2023-08-14 15:06:35 ,2023-08-14 15:06:37 ,2023-08-14 15:06:36 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南昌轨道交通集团有限公司运营分公司,西站南广场--起凤路          ,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081322001411721420607968	,202308131690660806130036736	,2023-08-13 17:45:22 ,2023-08-13 17:45:23 ,2023-08-13 17:45:23 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,武汉地铁运营有限公司      ,省博湖北日报-黄浦路          ,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081222001411721419130117	,00503720230812143844ri	,2023-08-12 14:38:45 ,2023-08-12 14:38:46 ,2023-08-12 14:38:46 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,便捷神             ,售货机[005037]的订单      ,8.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023081122001411721417455116	,202308111689964163281739776	,2023-08-11 19:37:10 ,2023-08-11 19:37:11 ,2023-08-11 19:37:11 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,武汉地铁运营有限公司      ,汉口火车站-湖北大学          ,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023080922001411721411510578	,1658676027460608    	,2023-08-09 20:46:21 ,2023-08-09 20:46:22 ,2023-08-09 20:46:22 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(东大路2023-08-09 20:36:44--成都东客站2023-08-09 20:46:13),2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023080922001411721410707799	,1658292400951296    	,2023-08-09 17:31:14 ,2023-08-09 17:31:15 ,2023-08-09 17:31:15 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(春熙路2023-08-09 17:19:20--东大路2023-08-09 17:31:05),2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023080922001411721407800855	,1657543110167552    	,2023-08-09 11:10:07 ,2023-08-09 11:10:08 ,2023-08-09 11:10:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(塔子山公园2023-08-09 10:56:56--春熙路2023-08-09 11:09:59),3.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023080922001411721407788003	,1657353674163200    	,2023-08-09 09:33:46 ,2023-08-09 09:33:47 ,2023-08-09 09:33:47 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(成都东客站2023-08-09 09:26:28--塔子山公园2023-08-09 09:33:38),2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023080829020999720143161693	,                    	,2023-08-08 08:57:42 ,2023-08-08 08:57:42 ,2023-08-08 08:57:42 ,支付宝网站     ,即时到账交易          ,花呗              ,花呗自动还款-2023年08月账单   ,40.92   ,不计收支    ,还款成功    ,0.00     ,0.00     ,                    ,资金转移     ,
2023080722001411721405104936	,1653029081683968    	,2023-08-07 20:54:10 ,2023-08-07 20:54:11 ,2023-08-07 20:54:11 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(牛王庙2023-08-07 20:40:54--成都东客站2023-08-07 20:54:02),3.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023080722001411721405420106	,SXA1O48851214628    	,2023-08-07 19:31:58 ,2023-08-07 19:31:59 ,2023-08-07 19:31:59 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都福满家便利有限公司     ,成都全家购物              ,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2023080722001411721400087225	,1651713810471936    	,2023-08-07 09:45:11 ,2023-08-07 09:45:12 ,2023-08-07 09:45:12 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,成都天府通数字科技有限公司   ,成都地铁(成都东客站2023-08-07 09:21:30--倪家桥2023-08-07 09:45:03),4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
------------------------------------------------------------------------------------
共42笔记录
已收入:0笔,0.00元
待收入:0笔,0.00元
已支出:39笔,486.99元
待支出:0笔,0.00元
导出时间:[2023-09-05 22:25:04]    用户:任杰宇
